GENESIS-Tabelle: 12411-0017
Bevölkerung: Kreise, Stichtag, Geschlecht, Altersgruppen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fortschreibung des Bevölkerungsstandes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bevölkerungsstand (Anzahl);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich
;;;unter 3 Jahre;3 bis unter 6 Jahre;6 bis unter 10 Jahre;10 bis unter 15 Jahre;15 bis unter 18 Jahre;18 bis unter 20 Jahre;20 bis unter 25 Jahre;25 bis unter 30 Jahre;30 bis unter 35 Jahre;35 bis unter 40 Jahre;40 bis unter 45 Jahre;45 bis unter 50 Jahre;50 bis unter 55 Jahre;55 bis unter 60 Jahre;60 bis unter 65 Jahre;65 bis unter 75 Jahre;75 Jahre und mehr;unter 3 Jahre;3 bis unter 6 Jahre;6 bis unter 10 Jahre;10 bis unter 15 Jahre;15 bis unter 18 Jahre;18 bis unter 20 Jahre;20 bis unter 25 Jahre;25 bis unter 30 Jahre;30 bis unter 35 Jahre;35 bis unter 40 Jahre;40 bis unter 45 Jahre;45 bis unter 50 Jahre;50 bis unter 55 Jahre;55 bis unter 60 Jahre;60 bis unter 65 Jahre;65 bis unter 75 Jahre;75 Jahre und mehr
31.12.2010;01001;Flensburg, kreisfreie Stadt;1150;1108;1458;1989;1179;1052;3967;4124;3218;2825;3502;3343;2794;2412;2366;4536;2736;1107;1058;1390;1916;1181;1045;4289;3668;2681;2427;3094;3100;2893;2571;2490;5176;4914
31.12.2010;01002;Kiel, kreisfreie Stadt;3167;2926;3802;4774;2988;2417;9687;10869;8973;7715;9975;10307;8617;6734;6054;11681;6611;3076;2818;3453;4529;2836;2531;11358;11012;8221;7226;8820;9679;7964;6886;6261;13023;12536
31.12.2010;01003;Lübeck, kreisfreie Stadt;2669;2694;3415;4765;3061;2157;6842;6930;6156;6357;8267;8373;6914;5928;5854;11886;7786;2620;2592;3433;4594;2840;2332;7244;6928;6168;6096;8057;8406;7279;6576;6379;14278;14356
31.12.2010;01004;Neumünster, kreisfreie Stadt;1087;1056;1460;2067;1301;1011;2582;2286;2071;2331;3118;3183;2646;2263;2161;4479;2632;979;991;1353;2030;1232;925;2373;2019;1978;2219;2998;3048;2670;2403;2252;4999;4627
31.12.2010;01051;Dithmarschen, Landkreis;1564;1704;2546;3954;2532;1661;3822;3206;3157;3846;5535;5578;4809;4451;4183;8495;5275;1570;1602;2490;3855;2342;1539;3388;3087;3242;3597;5415;5333;4994;4457;4294;8861;8414
31.12.2010;01053;Herzogtum Lauenburg, Landkreis;2349;2606;3896;5447;3220;2196;4889;4289;4493;5345;8280;8538;6956;5882;5240;10951;6704;2194;2450;3643;5104;2959;2050;4569;4302;5020;5781;8229;8431;6987;5806;5530;11844;10694
31.12.2010;01054;Nordfriesland, Landkreis;1871;2119;3236;4747;3049;2122;4738;4198;4160;4946;7241;6900;5633;5111;4858;10043;6061;1780;1964;3203;4620;2840;1879;4220;4021;4289;4885;6669;6920;5979;5352;5254;10781;9791
31.12.2010;01055;Ostholstein, Landkreis;2088;2286;3484;5150;3285;2274;4972;4301;4636;5429;8536;8630;7341;6886;6702;14293;8695;2011;2142;3354;4858;3027;2160;4516;4315;4920;5827;8402;8702;7858;7217;6892;15291;13974
31.12.2010;01056;Pinneberg, Landkreis;3952;4141;5898;8391;4922;3388;8183;7202;7894;9164;14100;14075;11236;9208;8626;18106;10486;3692;3933;5638;7801;4546;3053;7468;7413;8183;9275;13699;13528;11291;9380;9396;19833;16380
