GENESIS-Tabelle: 46251-0006
Kraftfahrzeugbestand: Kreise, Stichtag, Kraftfahrzeugarten;;;;;;;;;;;;;;;;;;;;;
Statistik des Kraftfahrzeug- und Anhängerbestandes;;;;;;;;;;;;;;;;;;;;;
Kraftfahrzeugbestand (Anzahl);;;;;;;;;;;;;;;;;;;;;
;;;Kraftfahrzeugarten;Kraftfahrzeugarten;Kraftfahrzeugarten;Kraftfahrzeugarten;Kraftfahrzeugarten;Kraftfahrzeugarten;Kraftfahrzeugarten;Kraftfahrzeugarten;Kraftfahrzeugarten;Kraftfahrzeugarten;Kraftfahrzeugarten;Kraftfahrzeugarten;Kraftfahrzeugarten;Kraftfahrzeugarten;Kraftfahrzeugarten;Kraftfahrzeugarten;Kraftfahrzeugarten;Kraftfahrzeugarten;Kraftfahrzeugarten
;;;Kfz insgesamt;Krafträder insgesamt;Leichtkrafträder;Motorräder;Pkw insgesamt;Pkw mit Ottomotor;Pkw mit Dieselmotor;Kraftomnibusse insgesamt;Lkw insgesamt;Lkw mit Spezialaufbau;Zugmaschinen insgesamt;Gewöhnliche Zugmaschinen;Sattelzugmaschinen;Ackerschlepper;Übrige Kfz;Wohnmobile;Kfz-Anhänger insgesamt;Kfz-Anhänger zur Lastenbeförderung;Sattelanhänger
01.01.2013;01001;Flensburg, kreisfreie Stadt;45769;2922;-;2848;39840;26168;13167;112;1964;54;753;-;491;262;178;668;4417;2546;75
01.01.2013;01002;Kiel, kreisfreie Stadt;117720;7806;-;7621;101100;70599;29308;660;6809;170;800;-;198;602;545;1721;9352;5743;332
01.01.2013;01003;Lübeck, kreisfreie Stadt;106162;7151;-;6991;91022;65723;24192;227;6165;184;1085;-;482;603;512;1065;10524;6968;888
01.01.2013;01004;Neumünster, kreisfreie Stadt;45657;3164;-;3084;38558;26957;11075;69;2911;172;668;-;311;357;287;364;5842;4053;336
01.01.2013;01051;Dithmarschen, Landkreis;93278;7018;-;6699;73653;48468;24364;63;4640;146;7273;-;942;6331;631;1027;18528;14401;1338
01.01.2013;01053;Herzogtum Lauenburg, Landkreis;125602;9591;-;9301;103970;72166;30211;143;6441;435;4621;-;472;4149;836;1299;19134;14419;672
01.01.2013;01054;Nordfriesland, Landkreis;118948;8854;-;8394;93095;61152;30784;173;8008;244;7943;-;256;7687;875;1544;24183;18481;367
01.01.2013;01055;Ostholstein, Landkreis;137536;10787;-;10388;113917;80507;32001;99;6481;198;5345;-;557;4788;907;1535;20439;15178;600
01.01.2013;01056;Pinneberg, Landkreis;191537;13978;-;13609;160804;115308;43654;303;10752;270;4906;-;443;4463;794;2174;22380;15295;657
01.01.2013;01057;Plön, Landkreis;88031;6912;-;6633;72469;49965;21694;48;4043;141;4033;-;191;3842;526;1268;13630;9617;287
01.01.2013;01058;Rendsburg-Eckernförde, Landkreis;189214;13958;-;13398;155312;101630;51640;159;9116;305;9491;-;578;8913;1178;2645;30210;21371;589
01.01.2013;01059;Schleswig-Flensburg, Landkreis;142831;11005;-;10440;113231;71282;40338;237;7206;295;10279;-;1500;8779;873;2200;29324;20930;887
01.01.2013;01060;Segeberg, Landkreis;181966;14235;-;13788;150737;103535;45100;66;9668;329;6239;-;816;5423;1021;2103;25701;18953;849
01.01.2013;01061;Steinburg, Landkreis;91335;7715;-;7402;73476;50037;22374;134;4397;264;5039;-;270;4769;574;1049;15731;11478;374
01.01.2013;01062;Stormarn, Landkreis;163453;11739;-;11446;136595;94257;40557;32;9354;250;4151;-;671;3480;1582;1724;18835;13772;1289
01.01.2013;02000;Hamburg, kreisfreie Stadt;850335;50769;-;49740;738610;505121;225682;1579;48254;1154;6658;-;3173;3485;4465;8635;62131;38622;7936
01.01.2013;03101;Braunschweig, kreisfreie Stadt;140436;9466;-;9232;122508;83397;36976;294;6579;272;1035;-;386;649;554;957;10556;7181;738
01.01.2013;03102;Salzgitter, kreisfreie Stadt;57600;4263;-;4132;50256;36375;12616;158;1938;105;745;-;142;603;240;341;5699;4235;248
01.01.2013;03103;Wolfsburg, kreisfreie Stadt;140627;5368;-;5171;130357;73593;55383;148;3443;76;991;-;218;773;320;698;5681;3936;297
01.01.2013;03151;Gifhorn, Landkreis;116593;10823;-;10362;94361;62795;30175;172;4514;137;6124;-;337;5787;599;1106;19952;15554;470
01.01.2013;03152;Göttingen, Landkreis;150379;11092;-;10615;126273;90012;34424;171;6438;321;5626;-;219;5407;779;1275;16402;12000;331
01.01.2013;03153;Goslar, Landkreis;89296;7250;-;7005;75359;53630;20361;94;3725;182;2372;-;372;2000;496;607;11017;8148;480
01.01.2013;03154;Helmstedt, Landkreis;60604;5472;-;5295;50170;34594;14579;115;2349;71;2122;-;78;2044;376;502;8278;6210;104
01.01.2013;03155;Northeim, Landkreis;99101;8106;-;7711;80690;58826;20626;134;3720;171;5743;-;264;5479;708;612;13362;10133;430
01.01.2013;03156;Osterode am Harz, Landkreis;54926;4757;-;4574;43882;32173;11005;63;2553;277;3367;-;1387;1980;304;343;12903;10579;5567
01.01.2013;03157;Peine, Landkreis;88943;7642;-;7417;74639;54435;18624;107;3281;138;2864;-;363;2501;410;599;12334;9400;534
01.01.2013;03158;Wolfenbüttel, Landkreis;80633;7092;-;6897;68117;48682;18167;86;2720;90;2255;-;87;2168;363;632;9853;7384;109
01.01.2013;03201;Hannover, kreisfreie Stadt (bis 31.10.2001);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
01.01.2013;03241;Region Hannover, Landkreis;625389;45947;-;44823;533826;379097;145376;750;30056;1170;10924;-;1894;9030;3886;4606;68617;48587;2486
01.01.2013;03251;Diepholz, Landkreis;156845;11556;-;11122;125733;88214;35284;167;7783;436;10697;-;1402;9295;909;1144;29809;23134;1861
01.01.2013;03252;Hameln-Pyrmont, Landkreis;100812;7881;-;7568;84997;62754;20894;119;3981;220;3313;-;189;3124;521;708;14431;11012;255
